gpu_pipeline session log
timestamp: Wed Sep  3 22:14:48 2025
input_dir: "data"
output_dir: "outputs/run_streams"
ops: gauss,sobel,histeq
OK   small_1231.pgm -> small_1231.pgm
OK   small_1547.pgm -> small_1547.pgm
OK   small_1935.pgm -> small_1935.pgm
OK   small_011.pgm -> small_011.pgm
OK   small_1126.pgm -> small_1126.pgm
OK   small_1681.pgm -> small_1681.pgm
OK   small_802.pgm -> small_802.pgm
OK   small_470.pgm -> small_470.pgm
OK   small_1418.pgm -> small_1418.pgm
OK   small_288.pgm -> small_288.pgm
OK   small_1079.pgm -> small_1079.pgm
OK   small_259.pgm -> small_259.pgm
OK   small_638.pgm -> small_638.pgm
OK   small_301.pgm -> small_301.pgm
OK   small_1657.pgm -> small_1657.pgm
OK   small_760.pgm -> small_760.pgm
OK   small_1236.pgm -> small_1236.pgm
OK   small_1591.pgm -> small_1591.pgm
OK   small_1932.pgm -> small_1932.pgm
OK   small_1540.pgm -> small_1540.pgm
OK   small_016.pgm -> small_016.pgm
OK   small_1686.pgm -> small_1686.pgm
OK   small_1121.pgm -> small_1121.pgm
OK   small_477.pgm -> small_477.pgm
OK   small_805.pgm -> small_805.pgm
OK   small_1464.pgm -> small_1464.pgm
OK   small_1816.pgm -> small_1816.pgm
OK   small_695.pgm -> small_695.pgm
OK   small_132.pgm -> small_132.pgm
OK   small_1005.pgm -> small_1005.pgm
OK   small_921.pgm -> small_921.pgm
OK   small_553.pgm -> small_553.pgm
OK   small_225.pgm -> small_225.pgm
OK   small_582.pgm -> small_582.pgm
OK   small_1773.pgm -> small_1773.pgm
OK   small_644.pgm -> small_644.pgm
OK   small_1312.pgm -> small_1312.pgm
OK   small_879.pgm -> small_879.pgm
OK   small_1416.pgm -> small_1416.pgm
OK   small_1864.pgm -> small_1864.pgm
OK   small_140.pgm -> small_140.pgm
OK   small_1077.pgm -> small_1077.pgm
OK   small_953.pgm -> small_953.pgm
OK   small_521.pgm -> small_521.pgm
OK   small_286.pgm -> small_286.pgm
OK   small_982.pgm -> small_982.pgm
OK   small_257.pgm -> small_257.pgm
OK   small_1701.pgm -> small_1701.pgm
OK   small_191.pgm -> small_191.pgm
OK   small_636.pgm -> small_636.pgm
OK   small_1360.pgm -> small_1360.pgm
OK   small_1659.pgm -> small_1659.pgm
OK   small_1238.pgm -> small_1238.pgm
OK   small_018.pgm -> small_018.pgm
OK   small_479.pgm -> small_479.pgm
OK   small_1688.pgm -> small_1688.pgm
OK   small_1818.pgm -> small_1818.pgm
OK   small_373.pgm -> small_373.pgm
OK   small_1182.pgm -> small_1182.pgm
OK   small_1625.pgm -> small_1625.pgm
OK   small_712.pgm -> small_712.pgm
OK   small_1991.pgm -> small_1991.pgm
OK   small_1244.pgm -> small_1244.pgm
OK   small_1940.pgm -> small_1940.pgm
OK   small_1532.pgm -> small_1532.pgm
OK   small_1295.pgm -> small_1295.pgm
OK   small_064.pgm -> small_064.pgm
OK   small_1153.pgm -> small_1153.pgm
OK   small_405.pgm -> small_405.pgm
OK   small_877.pgm -> small_877.pgm
OK   small_928.pgm -> small_928.pgm
OK   small_374.pgm -> small_374.pgm
OK   small_1622.pgm -> small_1622.pgm
OK   small_1185.pgm -> small_1185.pgm
OK   small_715.pgm -> small_715.pgm
OK   small_1243.pgm -> small_1243.pgm
OK   small_1996.pgm -> small_1996.pgm
OK   small_1292.pgm -> small_1292.pgm
OK   small_1535.pgm -> small_1535.pgm
OK   small_1947.pgm -> small_1947.pgm
OK   small_063.pgm -> small_063.pgm
OK   small_1154.pgm -> small_1154.pgm
OK   small_870.pgm -> small_870.pgm
OK   small_402.pgm -> small_402.pgm
OK   small_1863.pgm -> small_1863.pgm
OK   small_1411.pgm -> small_1411.pgm
OK   small_147.pgm -> small_147.pgm
OK   small_1070.pgm -> small_1070.pgm
OK   small_281.pgm -> small_281.pgm
OK   small_526.pgm -> small_526.pgm
OK   small_954.pgm -> small_954.pgm
OK   small_250.pgm -> small_250.pgm
OK   small_985.pgm -> small_985.pgm
OK   small_1706.pgm -> small_1706.pgm
OK   small_631.pgm -> small_631.pgm
OK   small_196.pgm -> small_196.pgm
OK   small_1367.pgm -> small_1367.pgm
OK   small_308.pgm -> small_308.pgm
