filename,op,ms
small_148.pgm,histeq,0.0256
small_199.pgm,gauss,0.009216
small_199.pgm,sobel,0.00512
small_199.pgm,histeq,0.0256
small_010.pgm,gauss,0.01024
small_010.pgm,sobel,0.00512
small_010.pgm,histeq,0.0256
small_101.pgm,gauss,0.01024
small_101.pgm,sobel,0.00512
small_101.pgm,histeq,0.03072
small_059.pgm,gauss,0.011264
small_059.pgm,sobel,0.006144
small_059.pgm,histeq,0.0256
small_088.pgm,gauss,0.01024
small_088.pgm,sobel,0.00512
small_088.pgm,histeq,0.025632
small_025.pgm,gauss,0.011232
small_025.pgm,sobel,0.00512
small_025.pgm,histeq,0.0256
small_022.pgm,gauss,0.01024
small_022.pgm,sobel,0.00512
small_022.pgm,histeq,0.026624
small_106.pgm,gauss,0.01024
small_106.pgm,sobel,0.00512
small_106.pgm,histeq,0.033792
small_174.pgm,gauss,0.012352
small_174.pgm,sobel,0.00512
small_174.pgm,histeq,0.029696
small_108.pgm,gauss,0.011264
small_108.pgm,sobel,0.00512
small_108.pgm,histeq,0.0256
small_050.pgm,gauss,0.01024
small_050.pgm,sobel,0.00512
small_050.pgm,histeq,0.0256
small_081.pgm,gauss,0.01024
small_081.pgm,sobel,0.00512
small_081.pgm,histeq,0.0256
small_057.pgm,gauss,0.01024
small_057.pgm,sobel,0.004096
small_057.pgm,histeq,0.026624
small_086.pgm,gauss,0.011264
small_086.pgm,sobel,0.00512
small_086.pgm,histeq,0.026624
small_173.pgm,gauss,0.01024
small_173.pgm,sobel,0.00608
small_173.pgm,histeq,0.02464
small_097.pgm,gauss,0.01024
small_097.pgm,sobel,0.00512
small_097.pgm,histeq,0.0256
small_046.pgm,gauss,0.01024
small_046.pgm,sobel,0.00512
small_046.pgm,histeq,0.0256
small_162.pgm,gauss,0.010304
small_162.pgm,sobel,0.00512
small_162.pgm,histeq,0.02464
small_165.pgm,gauss,0.01024
small_165.pgm,sobel,0.00512
small_165.pgm,histeq,0.026624
small_090.pgm,gauss,0.01024
small_090.pgm,sobel,0.00512
small_090.pgm,histeq,0.0256
small_041.pgm,gauss,0.011264
small_041.pgm,sobel,0.00512
small_041.pgm,histeq,0.0256
